Episode 118/20000 => steps=172, reward=30696.718, coverage=81/81 (100.0%)
Episode 119/20000 => steps=18, reward=3962.200, coverage=81/81 (100.0%)
Episode 120/20000 => steps=17, reward=3509.366, coverage=81/81 (100.0%)
Episode 121/20000 => steps=14, reward=3400.547, coverage=81/81 (100.0%)
Episode 122/20000 => steps=180, reward=32932.647, coverage=81/81 (100.0%)
Episode 123/20000 => steps=23, reward=4644.726, coverage=81/81 (100.0%)
Episode 124/20000 => steps=20, reward=4304.008, coverage=81/81 (100.0%)
Episode 125/20000 => steps=278, reward=48853.149, coverage=81/81 (100.0%)
Episode 126/20000 => steps=27, reward=5004.834, coverage=81/81 (100.0%)
Episode 127/20000 => steps=24, reward=4940.811, coverage=81/81 (100.0%)
Episode 128/20000 => steps=22, reward=3772.787, coverage=81/81 (100.0%)
Episode 129/20000 => steps=53, reward=9689.727, coverage=81/81 (100.0%)
Episode 130/20000 => steps=23, reward=4405.508, coverage=81/81 (100.0%)
Episode 131/20000 => steps=29, reward=5655.689, coverage=81/81 (100.0%)
Episode 132/20000 => steps=39, reward=7545.302, coverage=81/81 (100.0%)
Episode 133/20000 => steps=23, reward=4777.512, coverage=81/81 (100.0%)
Episode 134/20000 => steps=15, reward=3351.235, coverage=81/81 (100.0%)
Episode 135/20000 => steps=65, reward=11655.435, coverage=81/81 (100.0%)
Episode 136/20000 => steps=157, reward=27627.976, coverage=81/81 (100.0%)
Episode 137/20000 => steps=18, reward=3421.644, coverage=81/81 (100.0%)
Episode 138/20000 => steps=23, reward=4134.712, coverage=81/81 (100.0%)
Episode 139/20000 => steps=115, reward=21386.244, coverage=81/81 (100.0%)
Episode 140/20000 => steps=185, reward=32887.943, coverage=81/81 (100.0%)
Episode 141/20000 => steps=26, reward=4887.542, coverage=81/81 (100.0%)
Episode 142/20000 => steps=22, reward=4026.109, coverage=81/81 (100.0%)
Episode 143/20000 => steps=194, reward=34734.718, coverage=81/81 (100.0%)
Episode 144/20000 => steps=146, reward=26777.081, coverage=81/81 (100.0%)
Episode 145/20000 => steps=127, reward=22955.446, coverage=81/81 (100.0%)
Episode 146/20000 => steps=41, reward=7439.445, coverage=81/81 (100.0%)
Episode 147/20000 => steps=24, reward=4352.762, coverage=81/81 (100.0%)
Episode 148/20000 => steps=119, reward=21099.319, coverage=81/81 (100.0%)
Episode 149/20000 => steps=26, reward=4535.216, coverage=81/81 (100.0%)
Episode 150/20000 => steps=114, reward=19974.395, coverage=81/81 (100.0%)
Episode 151/20000 => steps=30, reward=6158.463, coverage=81/81 (100.0%)
Episode 152/20000 => steps=74, reward=13694.787, coverage=81/81 (100.0%)
Episode 153/20000 => steps=50, reward=9411.616, coverage=81/81 (100.0%)
Episode 154/20000 => steps=23, reward=4479.957, coverage=81/81 (100.0%)
Episode 155/20000 => steps=42, reward=7885.875, coverage=81/81 (100.0%)
Episode 156/20000 => steps=72, reward=13574.205, coverage=81/81 (100.0%)
Episode 157/20000 => steps=22, reward=4522.115, coverage=81/81 (100.0%)
Episode 158/20000 => steps=75, reward=14335.743, coverage=81/81 (100.0%)
Episode 159/20000 => steps=221, reward=40463.699, coverage=81/81 (100.0%)
Episode 160/20000 => steps=113, reward=20526.936, coverage=81/81 (100.0%)
Episode 161/20000 => steps=27, reward=5027.835, coverage=81/81 (100.0%)
Episode 162/20000 => steps=15, reward=2876.198, coverage=81/81 (100.0%)
Episode 163/20000 => steps=20, reward=4044.430, coverage=81/81 (100.0%)
Episode 164/20000 => steps=25, reward=4769.229, coverage=81/81 (100.0%)
Episode 165/20000 => steps=105, reward=19050.138, coverage=81/81 (100.0%)
Episode 166/20000 => steps=61, reward=11426.207, coverage=81/81 (100.0%)
Episode 167/20000 => steps=28, reward=5471.864, coverage=81/81 (100.0%)
Episode 168/20000 => steps=21, reward=4193.248, coverage=81/81 (100.0%)
Episode 169/20000 => steps=28, reward=5500.679, coverage=81/81 (100.0%)
Episode 170/20000 => steps=20, reward=4104.783, coverage=81/81 (100.0%)
Episode 171/20000 => steps=181, reward=31772.486, coverage=81/81 (100.0%)
Episode 172/20000 => steps=108, reward=19744.816, coverage=81/81 (100.0%)
Episode 173/20000 => steps=319, reward=56908.211, coverage=81/81 (100.0%)
Episode 174/20000 => steps=47, reward=8617.984, coverage=81/81 (100.0%)
Episode 175/20000 => steps=135, reward=24987.327, coverage=81/81 (100.0%)
Episode 176/20000 => steps=9, reward=2188.108, coverage=81/81 (100.0%)
Episode 177/20000 => steps=63, reward=11283.352, coverage=81/81 (100.0%)
Episode 178/20000 => steps=22, reward=4154.095, coverage=81/81 (100.0%)
Episode 179/20000 => steps=20, reward=4292.197, coverage=81/81 (100.0%)
Episode 180/20000 => steps=27, reward=4719.515, coverage=81/81 (100.0%)
Episode 181/20000 => steps=17, reward=3600.157, coverage=81/81 (100.0%)
Episode 182/20000 => steps=93, reward=15900.405, coverage=81/81 (100.0%)
Episode 183/20000 => steps=141, reward=24939.314, coverage=81/81 (100.0%)
Episode 184/20000 => steps=18, reward=3812.071, coverage=81/81 (100.0%)
Episode 185/20000 => steps=28, reward=4947.873, coverage=81/81 (100.0%)
Episode 186/20000 => steps=185, reward=32535.066, coverage=81/81 (100.0%)
Episode 187/20000 => steps=23, reward=4642.413, coverage=81/81 (100.0%)
Episode 188/20000 => steps=23, reward=4305.922, coverage=81/81 (100.0%)
Episode 189/20000 => steps=17, reward=3501.167, coverage=81/81 (100.0%)
Episode 190/20000 => steps=208, reward=38549.285, coverage=81/81 (100.0%)
Episode 191/20000 => steps=350, reward=62616.409, coverage=81/81 (100.0%)
Episode 192/20000 => steps=113, reward=20661.376, coverage=81/81 (100.0%)
Episode 193/20000 => steps=15, reward=3399.944, coverage=81/81 (100.0%)
Episode 194/20000 => steps=107, reward=19285.043, coverage=81/81 (100.0%)
Episode 195/20000 => steps=23, reward=4577.259, coverage=81/81 (100.0%)
Episode 196/20000 => steps=201, reward=36396.705, coverage=81/81 (100.0%)
Episode 197/20000 => steps=19, reward=4006.723, coverage=81/81 (100.0%)
Episode 198/20000 => steps=39, reward=7248.313, coverage=81/81 (100.0%)
Episode 199/20000 => steps=97, reward=18047.310, coverage=81/81 (100.0%)
Episode 200/20000 => steps=16, reward=3062.894, coverage=81/81 (100.0%)
Episode 201/20000 => steps=503, reward=90102.141, coverage=81/81 (100.0%)
Episode 202/20000 => steps=18, reward=3869.920, coverage=81/81 (100.0%)
Episode 203/20000 => steps=309, reward=56133.846, coverage=81/81 (100.0%)
Episode 204/20000 => steps=18, reward=3542.884, coverage=81/81 (100.0%)
Episode 205/20000 => steps=134, reward=24949.567, coverage=81/81 (100.0%)
Episode 206/20000 => steps=25, reward=5275.603, coverage=81/81 (100.0%)
Episode 207/20000 => steps=157, reward=27099.559, coverage=81/81 (100.0%)
Episode 208/20000 => steps=20, reward=3968.352, coverage=81/81 (100.0%)
Episode 209/20000 => steps=30, reward=5155.636, coverage=81/81 (100.0%)
Episode 210/20000 => steps=30, reward=5794.800, coverage=81/81 (100.0%)
Episode 211/20000 => steps=23, reward=4299.416, coverage=81/81 (100.0%)
Episode 212/20000 => steps=19, reward=3966.649, coverage=81/81 (100.0%)
Episode 213/20000 => steps=25, reward=5037.009, coverage=81/81 (100.0%)
Episode 214/20000 => steps=27, reward=5191.783, coverage=81/81 (100.0%)
Episode 215/20000 => steps=24, reward=4831.419, coverage=81/81 (100.0%)
Episode 216/20000 => steps=44, reward=8291.323, coverage=81/81 (100.0%)
Episode 217/20000 => steps=18, reward=3538.981, coverage=81/81 (100.0%)
Episode 218/20000 => steps=83, reward=15307.487, coverage=81/81 (100.0%)
Episode 219/20000 => steps=17, reward=3657.978, coverage=81/81 (100.0%)
Episode 220/20000 => steps=112, reward=20420.398, coverage=81/81 (100.0%)
Episode 221/20000 => steps=29, reward=5145.345, coverage=81/81 (100.0%)
Episode 222/20000 => steps=119, reward=20419.109, coverage=81/81 (100.0%)
Episode 223/20000 => steps=12, reward=2795.033, coverage=81/81 (100.0%)
Episode 224/20000 => steps=107, reward=19298.368, coverage=81/81 (100.0%)
Episode 225/20000 => steps=91, reward=16580.435, coverage=81/81 (100.0%)
Episode 226/20000 => steps=172, reward=31705.149, coverage=81/81 (100.0%)
Episode 227/20000 => steps=15, reward=3134.640, coverage=81/81 (100.0%)
Episode 228/20000 => steps=50, reward=9227.141, coverage=81/81 (100.0%)
Episode 229/20000 => steps=58, reward=10109.775, coverage=81/81 (100.0%)
Episode 230/20000 => steps=11, reward=2498.744, coverage=81/81 (100.0%)
Episode 231/20000 => steps=22, reward=4280.966, coverage=81/81 (100.0%)
